,open,max,min,close,date
0,332.5,339.0,332.5,339.0,2020-01-02
1,344.0,345.0,335.5,339.5,2020-01-03
2,333.0,334.5,332.0,332.0,2020-01-06
3,332.5,333.0,326.5,329.5,2020-01-07
4,325.0,333.0,325.0,329.5,2020-01-08
5,335.0,337.5,333.5,337.5,2020-01-09
6,340.5,341.0,336.0,339.5,2020-01-10
7,342.0,342.0,339.0,341.5,2020-01-13
8,345.5,346.0,344.5,346.0,2020-01-14
9,345.0,345.0,337.5,340.0,2020-01-15
10,330.0,336.5,330.0,334.5,2020-01-16
11,334.0,335.5,332.0,333.0,2020-01-17
12,334.0,335.5,333.0,333.0,2020-01-20
13,326.0,326.0,316.5,316.5,2020-01-30
14,323.0,323.5,319.0,320.0,2020-01-31
15,315.0,316.5,312.0,315.0,2020-02-03
16,319.0,326.0,318.0,325.0,2020-02-04
17,329.0,329.5,324.5,327.5,2020-02-05
18,329.5,332.5,329.0,332.5,2020-02-06
19,330.0,330.5,326.0,328.0,2020-02-07
20,321.5,328.0,321.0,327.5,2020-02-10
21,330.5,332.5,330.0,331.5,2020-02-11
22,333.5,336.0,333.0,335.0,2020-02-12
23,338.0,338.0,335.0,335.0,2020-02-13
24,337.0,337.0,334.5,335.0,2020-02-14
25,331.5,333.0,330.5,331.5,2020-02-17
26,324.5,326.5,322.0,322.0,2020-02-18
27,322.5,327.0,322.0,326.5,2020-02-19
28,328.0,329.0,325.0,325.5,2020-02-20
29,325.5,326.5,323.0,325.0,2020-02-21
30,319.5,321.5,319.5,320.0,2020-02-24
31,320.0,323.5,317.5,322.0,2020-02-25
32,317.0,320.5,316.5,318.5,2020-02-26
33,319.0,320.0,315.0,316.0,2020-02-27
34,308.0,317.0,308.0,311.0,2020-03-02
35,318.5,320.0,316.0,317.5,2020-03-03
36,322.0,322.0,317.0,320.5,2020-03-04
37,325.0,326.0,323.0,323.0,2020-03-05
38,320.0,320.5,315.0,315.0,2020-03-06
39,307.5,310.0,305.5,305.5,2020-03-09
40,301.5,309.0,301.0,307.0,2020-03-10
41,309.0,310.5,302.0,302.0,2020-03-11
42,299.0,299.0,287.0,294.0,2020-03-12
43,275.0,294.0,272.5,290.0,2020-03-13
44,285.0,291.0,275.5,276.5,2020-03-16
45,265.0,276.5,265.0,268.0,2020-03-17
46,269.5,272.5,260.0,260.0,2020-03-18
47,252.0,253.0,235.5,248.0,2020-03-19
48,258.5,270.0,256.0,270.0,2020-03-20
49,257.0,262.5,252.0,255.0,2020-03-23
50,268.0,274.0,266.0,267.5,2020-03-24
