,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2018-01-02,2330,18055269,4188555408,231.5,232.5,231.0,232.5,3.0,9954
1,2018-01-03,2330,31706091,7504382512,236.0,238.0,235.5,237.0,4.5,13633
2,2018-01-04,2330,29179613,6963192636,240.0,240.0,236.5,239.5,2.5,10953
3,2018-01-05,2330,23721255,5681934695,240.0,240.0,238.0,240.0,0.5,8659
4,2018-01-08,2330,21846692,5281823362,242.0,242.5,240.5,242.0,2.0,10251
5,2018-01-09,2330,19043123,4588314012,242.0,242.0,239.5,242.0,0.0,7124
6,2018-01-10,2330,25716220,6118683273,241.5,242.0,236.0,236.5,-5.5,10534
7,2018-01-11,2330,32070338,7500674455,235.0,236.0,232.5,235.0,-1.5,9199
8,2018-01-12,2330,23141291,5463302207,234.5,238.0,233.5,237.0,2.0,7905
9,2018-01-15,2330,28576533,6832851887,240.0,240.0,238.0,240.0,3.0,9756
10,2018-01-16,2330,23407632,5609009540,240.0,240.5,238.0,240.5,0.5,8156
11,2018-01-17,2330,38118119,9207582787,240.5,243.0,239.0,242.0,1.5,12593
12,2018-01-18,2330,50119952,12406562364,245.0,250.0,245.0,248.5,6.5,19482
13,2018-01-19,2330,55061292,13975174348,253.5,255.5,251.5,255.5,7.0,18801
14,2018-01-22,2330,45907509,11934882643,257.5,262.0,257.0,261.5,6.0,13558
15,2018-01-23,2330,34606444,9155080569,262.5,266.0,262.5,266.0,4.5,13993
16,2018-01-24,2330,42600813,11022372004,263.0,263.0,256.5,258.0,-8.0,17287
17,2018-01-25,2330,46214756,11981089514,258.0,264.0,256.5,258.0,0.0,15826
18,2018-01-26,2330,43514523,11101977348,256.5,257.5,253.5,255.0,-3.0,12821
19,2018-01-29,2330,31306234,8067780117,259.0,261.5,255.0,258.5,3.5,12211
20,2018-01-30,2330,37410591,9523980994,256.0,257.5,252.5,253.0,-5.5,12987
21,2018-01-31,2330,45807808,11670582000,253.0,257.5,252.0,255.0,2.0,13553
22,2018-02-01,2330,30900457,8022694430,257.5,261.0,257.0,259.5,4.5,13598
23,2018-02-02,2330,25707560,6633344540,259.0,260.0,255.0,259.5,0.0,11404
24,2018-02-05,2330,46554379,11742299859,251.0,254.5,250.5,253.0,-6.5,16909
25,2018-02-06,2330,104448048,24944565955,242.5,243.5,234.0,239.0,-14.0,35455
26,2018-02-07,2330,82299178,19903032966,245.0,245.5,239.5,240.0,1.0,22962
27,2018-02-08,2330,31192550,7468970072,239.5,242.0,238.0,238.5,-1.5,10274
28,2018-02-09,2330,65939265,15227192540,230.0,233.0,228.5,232.5,-6.0,19749
29,2018-02-12,2330,42917236,10113012768,235.5,237.5,235.0,236.5,4.0,10851
30,2018-02-21,2330,76396174,18582475956,244.5,244.5,242.0,242.5,6.0,21512
31,2018-02-22,2330,45492993,10977665819,244.0,244.0,239.0,239.5,-3.0,10071
32,2018-02-23,2330,26985776,6578657620,241.0,245.0,241.0,245.0,5.5,10178
33,2018-02-26,2330,36165810,8910352170,247.0,247.5,245.0,246.5,1.5,12565
34,2018-02-27,2330,44699119,11061945363,250.5,250.5,246.0,246.0,-0.5,10908
35,2018-03-01,2330,43847984,10669194561,244.0,245.0,242.0,243.0,-3.0,11589
