date,open,max,min,close
2022-01-03,645.0,656.0,644.0,656.0
2022-01-04,669.0,669.0,646.0,650.0
2022-01-05,638.0,646.0,636.0,644.0
2022-01-06,643.0,646.0,632.0,634.0
2022-01-07,628.0,645.0,627.0,643.0
2022-01-10,646.0,651.0,639.0,651.0
2022-01-11,657.0,660.0,650.0,660.0
2022-01-12,658.0,662.0,655.0,661.0
2022-01-13,673.0,673.0,661.0,672.0
2022-01-14,685.0,688.0,678.0,683.0
2022-01-17,678.0,681.0,662.0,662.0
2022-01-18,652.0,660.0,651.0,654.0
2022-01-19,650.0,657.0,646.0,651.0
2022-01-20,644.0,646.0,637.0,641.0
2022-01-21,639.0,655.0,637.0,653.0
2022-01-24,643.0,645.0,638.0,641.0
2022-01-25,635.0,641.0,635.0,636.0
2022-01-26,644.0,644.0,631.0,635.0
2022-02-07,645.0,645.0,628.0,628.0
2022-02-08,635.0,637.0,630.0,633.0
2022-02-09,639.0,649.0,637.0,649.0
2022-02-10,646.0,650.0,642.0,650.0
2022-02-11,640.0,641.0,635.0,637.0
2022-02-14,633.0,639.0,633.0,633.0
2022-02-15,645.0,646.0,640.0,646.0
2022-02-16,644.0,646.0,641.0,645.0
2022-02-17,638.0,639.0,636.0,637.0
2022-02-18,633.0,636.0,632.0,632.0
2022-02-21,628.0,630.0,625.0,627.0
2022-02-22,624.0,629.0,623.0,625.0
2022-02-23,618.0,619.0,604.0,604.0
2022-02-24,600.0,609.0,600.0,604.0
2022-02-25,599.0,610.0,599.0,604.0
2022-03-01,601.0,605.0,600.0,601.0
2022-03-02,603.0,607.0,601.0,602.0
2022-03-03,595.0,597.0,592.0,595.0
2022-03-04,580.0,581.0,575.0,576.0
2022-03-07,561.0,570.0,561.0,563.0
2022-03-08,567.0,573.0,567.0,568.0
2022-03-09,585.0,589.0,582.0,587.0
2022-03-10,581.0,582.0,574.0,575.0
2022-03-11,574.0,577.0,572.0,572.0
2022-03-14,562.0,563.0,558.0,558.0
2022-03-15,564.0,565.0,555.0,558.0
2022-03-16,578.0,583.0,575.0,582.0
2022-03-17,582.0,582.0,576.0,581.0
2022-03-18,583.0,589.0,583.0,586.0
2022-03-21,577.0,586.0,577.0,583.0
2022-03-22,590.0,590.0,586.0,590.0
2022-03-23,587.0,592.0,585.0,591.0
2022-03-24,597.0,598.0,595.0,598.0
2022-03-25,581.0,586.0,580.0,584.0
2022-03-28,586.0,589.0,584.0,589.0
2022-03-29,599.0,600.0,597.0,600.0
2022-03-30,602.0,602.0,594.0,597.0
2022-03-31,585.0,589.0,584.0,589.0
2022-04-01,578.0,580.0,575.0,578.0
2022-04-06,571.0,573.0,566.0,566.0
2022-04-07,567.0,570.0,566.0,567.0
2022-04-08,563.0,566.0,558.0,558.0
2022-04-11,554.0,564.0,552.0,557.0
2022-04-12,564.0,576.0,563.0,573.0
2022-04-13,577.0,578.0,573.0,573.0
2022-04-14,562.0,566.0,561.0,562.0
2022-04-15,559.0,566.0,558.0,561.0
2022-04-18,566.0,569.0,563.0,565.0
2022-04-19,570.0,570.0,562.0,570.0
2022-04-20,571.0,571.0,565.0,565.0
2022-04-21,558.0,559.0,557.0,558.0
2022-04-22,550.0,552.0,546.0,547.0
2022-04-25,550.0,551.0,544.0,546.0
2022-04-26,530.0,532.0,526.0,526.0
2022-04-27,530.0,532.0,523.0,531.0
2022-04-28,547.0,547.0,535.0,538.0
2022-04-29,538.0,540.0,530.0,531.0
2022-05-03,533.0,537.0,530.0,534.0
2022-05-04,543.0,544.0,539.0,542.0
2022-05-05,528.0,531.0,526.0,528.0
2022-05-06,523.0,524.0,520.0,520.0
2022-05-09,506.0,519.0,505.0,518.0
2022-05-10,518.0,526.0,518.0,521.0
2022-05-11,516.0,518.0,505.0,505.0
2022-05-12,507.0,514.0,506.0,511.0
2022-05-13,521.0,524.0,518.0,520.0
2022-05-16,521.0,533.0,520.0,530.0
2022-05-17,541.0,541.0,534.0,538.0
2022-05-18,523.0,527.0,520.0,522.0
2022-05-19,524.0,532.0,523.0,530.0
2022-05-20,533.0,534.0,528.0,528.0
2022-05-23,530.0,531.0,520.0,520.0
2022-05-24,522.0,529.0,520.0,524.0
2022-05-25,523.0,525.0,513.0,514.0
2022-05-26,524.0,530.0,522.0,530.0
2022-05-27,538.0,547.0,537.0,547.0
2022-05-30,542.0,560.0,540.0,560.0
2022-05-31,550.0,555.0,548.0,549.0
2022-06-01,544.0,545.0,540.0,540.0
2022-06-02,541.0,544.0,538.0,540.0
